scenario_id,scenario_group_key,seed_event_count,member_row_count,core_start_line,core_end_line,window_start_line,window_end_line,start_timestamp,end_timestamp,duration_seconds
scenario_0010,10.0.19.39:56633-10.0.19.47:102,2,10,237563,237564,223736,237605,2026-02-15T07:59:59.424246,2026-02-15T09:54:51.737989,6892.313743
scenario_0054,10.0.19.39:56638-10.0.19.49:102,2,22,269373,269415,234582,269440,2026-02-15T09:27:48.482951,2026-02-15T14:12:21.170621,17072.68767
scenario_0011,10.0.19.39:56633-10.0.19.47:102,3,12,237784,237791,237748,237831,2026-02-15T09:56:01.851025,2026-02-15T09:56:39.393927,37.542902
scenario_0012,10.0.19.39:56633-10.0.19.47:102,5,15,244917,244943,244893,244984,2026-02-15T10:53:51.040686,2026-02-15T10:54:34.237228,43.196542
scenario_0013,10.0.19.39:56633-10.0.19.47:102,4,44,269467,269608,269427,269640,2026-02-15T14:12:17.943757,2026-02-15T14:13:33.787499,75.843742
scenario_0055,10.0.19.39:56638-10.0.19.49:102,1,14,269526,269526,269491,269551,2026-02-15T14:12:41.178395,2026-02-15T14:12:59.635769,18.457374
scenario_0056,10.0.19.39:56638-10.0.19.49:102,1,14,269638,269638,269604,269669,2026-02-15T14:13:19.670920,2026-02-15T14:13:46.403453,26.732533
scenario_0057,10.0.19.39:56638-10.0.19.49:102,5,16,270730,270781,270686,270825,2026-02-15T14:21:16.838870,2026-02-15T14:22:17.639143,60.800273
scenario_0058,10.0.19.39:56638-10.0.19.49:102,5,17,270914,270960,270870,271005,2026-02-15T14:22:37.625910,2026-02-15T14:23:34.512703,56.886793
scenario_0014,10.0.19.39:56633-10.0.19.47:102,3,12,271492,271502,271459,271548,2026-02-15T14:26:55.475632,2026-02-15T14:27:31.009143,35.533511
scenario_0015,10.0.19.39:56633-10.0.19.47:102,3,12,271573,271581,271547,271627,2026-02-15T14:27:30.981815,2026-02-15T14:28:06.559121,35.577306
scenario_0031,10.0.19.39:56634-10.0.19.48:102,1,10,283373,283373,283345,283418,2026-02-15T15:54:32.843497,2026-02-15T15:55:05.330363,32.486866
scenario_0016,10.0.19.39:56633-10.0.19.47:102,2,10,283463,283464,283426,283509,2026-02-15T15:55:07.827869,2026-02-15T15:55:44.137149,36.30928
scenario_0017,10.0.19.39:56633-10.0.19.47:102,3,12,283565,283577,283530,283623,2026-02-15T15:55:54.138481,2026-02-15T15:56:32.804212,38.665731
scenario_0018,10.0.19.39:56633-10.0.19.47:102,5,17,283647,283696,283622,283741,2026-02-15T15:56:32.798356,2026-02-15T15:57:23.169233,50.370877
scenario_0059,10.0.19.39:56638-10.0.19.49:102,10,31,284044,284224,284018,284270,2026-02-15T15:59:25.799520,2026-02-15T16:01:13.528164,107.728644
scenario_0019,10.0.19.39:56633-10.0.19.47:102,2,20,350664,350694,350639,350720,2026-02-16T00:09:08.679090,2026-02-16T00:09:38.980272,30.301182
scenario_0060,10.0.19.39:56638-10.0.19.49:102,2,22,350911,350972,350894,350989,2026-02-16T00:10:55.705563,2026-02-16T00:11:32.918278,37.212715
scenario_0020,10.0.19.39:56633-10.0.19.47:102,1,13,351303,351303,351274,351329,2026-02-16T00:13:39.599934,2026-02-16T00:14:02.251947,22.652013
scenario_0021,10.0.19.39:56633-10.0.19.47:102,1,14,351475,351475,351441,351514,2026-02-16T00:14:52.181089,2026-02-16T00:15:19.277534,27.096445
scenario_0061,10.0.19.39:56638-10.0.19.49:102,2,21,351543,351576,351519,351614,2026-02-16T00:15:23.362963,2026-02-16T00:15:58.033948,34.670985
scenario_0022,10.0.19.39:56633-10.0.19.47:102,3,32,359607,359705,353358,359718,2026-02-16T00:28:51.336783,2026-02-16T01:19:56.233593,3064.89681
scenario_0023,10.0.19.39:56633-10.0.19.47:102,1,12,360142,360142,360125,360177,2026-02-16T01:22:56.604229,2026-02-16T01:23:17.018186,20.413957
scenario_0062,10.0.19.39:56638-10.0.19.49:102,4,43,360192,360348,360156,360378,2026-02-16T01:23:08.759846,2026-02-16T01:24:22.516057,73.756211
scenario_0063,10.0.19.39:56638-10.0.19.49:102,5,18,371268,371323,371228,371369,2026-02-16T02:44:15.000359,2026-02-16T02:45:15.204943,60.204584
scenario_0064,10.0.19.39:56638-10.0.19.49:102,5,17,371431,371482,371391,371528,2026-02-16T02:45:25.213551,2026-02-16T02:46:22.942389,57.728838
scenario_0024,10.0.19.39:56633-10.0.19.47:102,2,10,374660,374663,374634,374709,2026-02-16T03:09:01.074479,2026-02-16T03:09:35.381931,34.307452
scenario_0025,10.0.19.39:56633-10.0.19.47:102,3,12,374756,374766,374730,374812,2026-02-16T03:09:45.400605,2026-02-16T03:10:17.949882,32.549277000000004
scenario_0026,10.0.19.39:56633-10.0.19.47:102,5,18,374840,374890,374812,374935,2026-02-16T03:10:17.949882,2026-02-16T03:11:09.788146,51.838264
scenario_0027,10.0.19.39:56633-10.0.19.47:102,2,21,392147,392195,388046,392215,2026-02-16T04:53:35.508847,2026-02-16T05:30:49.363642,2233.854795
scenario_0065,10.0.19.39:56638-10.0.19.49:102,3,34,392261,392351,392231,392384,2026-02-16T05:30:57.741755,2026-02-16T05:32:02.684589,64.942834
scenario_0028,10.0.19.39:56633-10.0.19.47:102,2,25,392422,392489,392397,392499,2026-02-16T05:32:09.561329,2026-02-16T05:32:52.395819,42.83449
scenario_0066,10.0.19.39:56638-10.0.19.49:102,1,14,392536,392536,392500,392564,2026-02-16T05:32:52.740960,2026-02-16T05:33:20.049777,27.308817
