seq,line_number,timestamp,src_ip,dst_ip,rogue_origin,objects_targeted,switchgear_types,n_objects
32,173972,2026-02-15 01:54:53.145008,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos; E01A103_CTRL/Q1CILO1$ST$EnaCls; E01A103_CTRL/Q2CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",3
33,174014,2026-02-15 01:55:11.161359,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
34,174018,2026-02-15 01:55:12.101293,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
35,174019,2026-02-15 01:55:13.838724,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q1CSWI1$ST$Pos,"Disconnector, Interlocking",2
36,174131,2026-02-15 01:56:03.269290,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
37,174133,2026-02-15 01:56:03.443016,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
38,175069,2026-02-15 02:02:55.890848,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
39,206992,2026-02-15 05:57:12.938226,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
40,207011,2026-02-15 05:57:21.002867,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
41,237565,2026-02-15 09:54:31.687580,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos; E01A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
42,237787,2026-02-15 09:56:17.804785,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
43,237792,2026-02-15 09:56:19.388810,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
44,244918,2026-02-15 10:54:01.427673,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
45,244920,2026-02-15 10:54:02.363127,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
46,244922,2026-02-15 10:54:03.991219,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q1CSWI1$ST$Pos,"Disconnector, Interlocking",2
47,244942,2026-02-15 10:54:13.929991,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
48,244944,2026-02-15 10:54:14.126161,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
49,269468,2026-02-15 14:12:32.928308,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
50,269496,2026-02-15 14:12:42.062247,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
51,270732,2026-02-15 14:21:35.526053,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos; E03A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
52,270779,2026-02-15 14:21:56.075147,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
53,270782,2026-02-15 14:21:57.620372,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos; E03A103_CTRL/Q2CILO1$ST$EnaCls; E03A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",4
54,270915,2026-02-15 14:22:56.195705,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
55,270917,2026-02-15 14:22:57.134892,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
56,270930,2026-02-15 14:22:58.738438,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CILO1$ST$EnaCls; E03A103_CTRL/Q1CSWI1$ST$Pos,"Disconnector, Interlocking",2
57,270959,2026-02-15 14:23:14.276280,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
58,270961,2026-02-15 14:23:14.509117,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
59,271500,2026-02-15 14:27:09.372988,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch,1
60,271503,2026-02-15 14:27:10.976533,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q8CSWI1$ST$Pos,"Earth Switch, Interlocking",2
61,271574,2026-02-15 14:27:43.993681,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch,1
62,271579,2026-02-15 14:27:44.911834,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CSWI1$ST$Pos,Earth Switch,1
63,271582,2026-02-15 14:27:46.516086,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q8CSWI1$ST$Pos,"Earth Switch, Interlocking",2
64,283465,2026-02-15 15:55:24.125892,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos; E01A103_CTRL/Q1CILO1$ST$EnaCls,"Circuit Breaker, Interlocking",2
65,283569,2026-02-15 15:56:11.040755,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector,1
66,283578,2026-02-15 15:56:12.646715,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q1CSWI1$ST$Pos; E01A103_CTRL/Q2CILO1$ST$EnaCls; E01A103_CTRL/Q8CILO1$ST$EnaCls,"Disconnector, Interlocking",4
67,283651,2026-02-15 15:56:44.101198,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CSWI1$ST$Pos,Disconnector,1
68,283656,2026-02-15 15:56:45.705331,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls; E01A103_CTRL/Q2CSWI1$ST$Pos,"Disconnector, Interlocking",2
69,283695,2026-02-15 15:57:02.906720,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
70,283697,2026-02-15 15:57:03.104847,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker,1
