line_number,timestamp,stream_id,src_ip,dst_ip,rogue_origin,data_object,switchgear
106767,2026-02-14T15:59:52.947114,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
106772,2026-02-14T15:59:53.877613,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
106781,2026-02-14T15:59:55.480597,10.0.19.39:56638-10.0.19.49:102,10.0.19.49,10.0.19.39,IEDEXPLORER,E03A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
165401,2026-02-15T00:52:07.224439,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
165401,2026-02-15T00:52:07.224439,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
165405,2026-02-15T00:52:08.041074,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
165405,2026-02-15T00:52:08.041074,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
166882,2026-02-15T01:02:49.323911,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
166894,2026-02-15T01:02:50.930384,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CILO1$ST$EnaCls,Interlocking
166894,2026-02-15T01:02:50.930384,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
166894,2026-02-15T01:02:50.930384,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CILO1$ST$EnaCls,Interlocking
166894,2026-02-15T01:02:50.930384,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q8CILO1$ST$EnaCls,Interlocking
166928,2026-02-15T01:03:09.186210,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
166930,2026-02-15T01:03:09.447775,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
173971,2026-02-15T01:54:52.982528,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
173972,2026-02-15T01:54:53.145008,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q0CSWI1$ST$Pos,Circuit Breaker
173972,2026-02-15T01:54:53.145008,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CILO1$ST$EnaCls,Interlocking
173972,2026-02-15T01:54:53.145008,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q2CILO1$ST$EnaCls,Interlocking
174014,2026-02-15T01:55:11.161359,10.0.19.39:56633-10.0.19.47:102,10.0.19.47,10.0.19.39,IEDEXPLORER,E01A103_CTRL/Q1CSWI1$ST$Pos,Disconnector
