======================================================================
  PACKET-LEVEL SUMMARY REPORT
  Total unique attack packets: 105
======================================================================

  Seq  Timestamp                  Src IP         Switchgear Types                         Objects
  87   2026-02-16 02:44:53        10.0.19.49     Disconnector                             1
  88   2026-02-16 02:44:55        10.0.19.49     Disconnector                             1
  89   2026-02-16 02:45:41        10.0.19.49     Disconnector                             1
  90   2026-02-16 02:45:42        10.0.19.49     Disconnector, Interlocking               2
  91   2026-02-16 02:46:02        10.0.19.49     Circuit Breaker                          1
  92   2026-02-16 02:46:02        10.0.19.49     Circuit Breaker                          1
  93   2026-02-16 03:09:15        10.0.19.47     Circuit Breaker, Interlocking            2
  94   2026-02-16 03:09:56        10.0.19.47     Disconnector                             1
  95   2026-02-16 03:09:57        10.0.19.47     Disconnector                             1
  96   2026-02-16 03:10:31        10.0.19.47     Disconnector                             1
  97   2026-02-16 03:10:32        10.0.19.47     Disconnector                             1
  98   2026-02-16 03:10:49        10.0.19.47     Circuit Breaker                          1
  99   2026-02-16 03:10:49        10.0.19.47     Circuit Breaker                          1
  100  2026-02-16 05:30:23        10.0.19.47     Circuit Breaker                          1
  101  2026-02-16 05:30:43        10.0.19.47     Disconnector                             1
  102  2026-02-16 05:31:10        10.0.19.49     Circuit Breaker                          1
  103  2026-02-16 05:31:34        10.0.19.49     Disconnector                             1
  104  2026-02-16 05:31:49        10.0.19.49     Disconnector                             1
  105  2026-02-16 05:32:20        10.0.19.47     Disconnector                             1

======================================================================
Switchgear type counts across all packets:
  Disconnector         57 packets
  Circuit Breaker      43 packets
  Interlocking         26 packets
  Earth Switch         5 packets
