event_source,line_number,timestamp,direction,service,src_ip,dst_ip,stream_id,invoke_id,control_object,control_action,ctl_num,origin_identifier,report_seq_num,report_origins,report_ctl_nums,report_control_refs,report_boolean_values,protocol_tag,protocol_reasons,stat_reasons,protocol_score,stat_score,anomaly_score,final_tag,suppressed,summary
packet,56678,2026-02-14T09:08:21.671203,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,189,IEDEXPLORER,3,E03A103_CTRL/Q0CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_ctlnum_regression;report_without_matching_write,,85.00,0.00,85.00,likely-attack,0,Unconfirmed <RPT>
packet,56680,2026-02-14T09:08:21.872255,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,191,IEDEXPLORER,7,E03A103_CTRL/Q0CSWI1$ST$Pos,false,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,,80.00,0.00,80.00,likely-attack,0,Unconfirmed <RPT>
packet,65420,2026-02-14T10:26:31.921813,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,42,SAT200: 10.0.19.39 Origin:128,108,E01A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_below_write_baseline;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,65446,2026-02-14T10:26:41.945050,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,44,SAT200: 10.0.19.39 Origin:128,107,E01A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_ctlnum_below_write_baseline;report_without_matching_write,,55.00,0.00,55.00,failed-control,0,Unconfirmed <RPT>
packet,65495,2026-02-14T10:27:01.819008,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,49,SAT200: 10.0.19.39 Origin:128,123,E01A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,65519,2026-02-14T10:27:09.545712,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,,SAT200: 10.0.19.39 Origin:128,126,,,failed-control,last_appl_error,,45.00,0.00,45.00,failed-control,0,Unconfirmed <?>
packet,65539,2026-02-14T10:27:18.079309,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,52,SAT200: 10.0.19.39 Origin:128,125,E01A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression,,45.00,0.00,45.00,failed-control,0,Unconfirmed <RPT>
packet,65594,2026-02-14T10:27:44.123480,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,55,SAT200: 10.0.19.39 Origin:128,124,E01A103_CTRL/Q1CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,65634,2026-02-14T10:27:57.499186,RESPONSE,UNCONFIRMED,10.0.19.47,10.0.19.39,10.0.19.39:56633-10.0.19.47:102,,,,,,59,SAT200: 10.0.19.39 Origin:128,127,E01A103_CTRL/Q0CSWI1$ST$Pos,true,failed-control,report_ctlnum_regression;report_without_matching_write,,50.00,0.00,50.00,failed-control,0,Unconfirmed <RPT>
packet,74321,2026-02-14T11:38:00.654929,RESPONSE,UNCONFIRMED,10.0.19.49,10.0.19.39,10.0.19.39:56638-10.0.19.49:102,,,,,,192,IEDEXPLORER,7,E03A103_CTRL/Q0CSWI1$ST$Pos,true,likely-attack,unexpected_octet_identity_in_control_context;report_origin_not_seen_in_writes;report_without_matching_write,interarrival_outlier,80.00,25.00,100.00,likely-attack,0,Unconfirmed <RPT>
